Package,Function,Parameter,Parameter Doc,Sink,Unusual,PR,Comments,Determined By
deps-report,webpackAliasResolver,webpackConfigFile,,TaintedPath,,,,
design-system,postcssCompile,inputPath,,CommandInjection,yes,,,param+func
dialog,run,0,,CommandInjection,no,,the actual parameter is `cmd` (which is used like this: `var bin = cmd[0]`),unclear
digo,copyDir,from,,TaintedPath,,,,
digo,copyFileIf,from,,TaintedPath,,,,
digo,copyLink,from,,TaintedPath,,,,
digo,deleteDir,path,,TaintedPath,,,,
digo,deleteFile,path,,TaintedPath,,,,
digo,readLinkIf,path,,TaintedPath,,,,
dir-compare,compareAsync,path1,,TaintedPath,,,,
dish,file,p,,TaintedPath,,,,
docx-builder,insertDocx,path,,TaintedPath,,,,
doh,f,condition,,CodeInjection,no,,doh is a unit test lib where condition is a assertion predicate,param+README
dojo,fromJson,js,,CodeInjection,yes,,only makes sense if you read links listed in README,func
domoja-core,reloadConfig,arg,,TaintedPath,,,,
donuts.node-settings,openSettings,name,,TaintedPath,,,,
dotenv-flow,parse,filenames,"filename or a list of filenames to parse
",TaintedPath,,,,
dotjson,get,filename,,TaintedPath,,,,
dotjson,set,filename,,TaintedPath,,,,
download.jqueryui.com,isDirectory,filepath,,TaintedPath,,,,
doxdox-core,isDirectory,path,,TaintedPath,,,,
doxdox-parser-template,doxdox-parser-template,cwd,,TaintedPath,no,,,param
doxdox-parser-template,doxdox-parser-template,path,,TaintedPath,,,,
Dragon,init_pool,mysql_configuration,,TaintedPath,no,,,param+file
Dragon,normal_handler,body,,ReflectedXss,no,,,param+func
drp-service-docmgr,LoadDoc,serviceName,,TaintedPath,,,,
ds-store,write,path,,TaintedPath,no,,,param+func
dustjs-example-streaming,onLoad,tmpl,,TaintedPath,,,,
earthstar-pub,serve,dataFolder,,TaintedPath,,,,
easy-zip2,zipFolder,folder,,TaintedPath,,,,
easywebpack,getPackageConfig,baseDir,,TaintedPath,,,,
easywebpack,saveBuildConfig,filepath,,TaintedPath,,,,
easywebpack-cli,getDefaultInstallPackage,name,,TaintedPath,,,,
ecstatic,createMiddleware,_dir,,TaintedPath,,,,
edublocks,CLOSURE_IMPORT_SCRIPT,src,"The script source.
",TaintedPath,no,,,param+func+param doc
electrode,reactQueryFeature,serverModule,,TaintedPath,,,,
electron-updater,list,appDir,,TaintedPath,,,,
email-templates,exportable,templateDirectory,,TaintedPath,no,,,param+func+package
ember-cli-i18next,treeFor,name,,TaintedPath,,,,
ember-photoswipe,resolvePackagePath,packageName,,TaintedPath,no,,,param+func
ember-watson,transformTestsToAsyncAwait,rootPath,,TaintedPath,,,,
emotion-monorepo,emotion-monorepo,cases,,TaintedPath,,,,
empty-dir,emptyDirSync,dir,,TaintedPath,,,,
encoder,encoder,input,,TaintedPath,,,,
enum-files,filesRecursively,filepath,"filepath to find.
",TaintedPath,,,,
env-smart,parseFile,path,"The path of the env file to parse
",TaintedPath,no,,,param+func+param doc
epub-parser,open,filename,,TaintedPath,,,,
ern-cauldron-api,addFile,localFilePath,,TaintedPath,,,,
ern-core,existInPath,p,,TaintedPath,no,,,func
es6-module-transpiler,resolvePath,importedPath,,TaintedPath,,,,
escpos-buffer,loadImage,filename,,TaintedPath,no,,,param+func
eslint-import-resolver-jest,resolver,source,,TaintedPath,,,,
esprima-extract-comments,file,file,,TaintedPath,no,,,param+func
exceljs,WorkbookWriter,filename,,TaintedPath,,,,
exec-inline,exec-inline,cmd,,CommandInjection,,,,
expander,process,lookup,,CodeInjection,yes,,,param+func
expander,set,lookup,,CodeInjection,yes,,,param+func
express-handlebars,getTemplates,dirPath,,TaintedPath,,,,
express-routemap,express-routemap,filename,,TaintedPath,no,,,param
extended-fs,recurseSync,dir,"Directory to traverse
",TaintedPath,,,,
extract-zip,extract-zip,dir,,TaintedPath,,,,
faasjs-mono,request,file,,TaintedPath,,,,
fabric-starter-rest,defaultConnectionOptions,org,,TaintedPath,,,,
fbl,validatePlugins,wd,,TaintedPath,yes,,,param+func
felix-couchdb,toAttachment,file,,TaintedPath,no,,,param+README
fetch-vcr,loadFile,root,,TaintedPath,,,,
ffmpegdotjs,addaudiotovideo,output,,CommandInjection,,,,
ffmpegdotjs,addoverlayimage,y,,CommandInjection,yes,,,param+func
ffmpegdotjs,addoverlayimagetime,input2,,CommandInjection,yes,,,param+func
ffmpegdotjs,addoverlayimagetime,y,,CommandInjection,yes,,,param+func
ffmpegdotjs,mergevideos,input2,,CommandInjection,,,,
fie-fs,move,newPath,,TaintedPath,no,,,param+func
figma-react,loadImageToDisk,fileName,,TaintedPath,no,,,param+func
figma-react,saveSvgToDisk,fileName,,TaintedPath,,,,
fiken,addAttachmentToCreditNoteDraftRaw,file,,TaintedPath,,,,
file-exists,fileExists,filepath,,TaintedPath,no,,,param+func
file-sync-cmp,equalFiles,pathA,,TaintedPath,,,,
file-system,mkdirSync,filepath,,TaintedPath,,,,
fileutil,delete,f,一个或多个文件或文件夹,TaintedPath,,,,
final-fs,copy,fromPath,,TaintedPath,no,,,param+func
final-fs,dirFiles,directoryPath,,TaintedPath,no,,,param+func
final-fs,lchownSync,path,,TaintedPath,,,,
final-fs,mkdir,path,,TaintedPath,,,,
final-fs,readlink,path,,TaintedPath,,,,
final-fs,renameSync,oldPath,,TaintedPath,no,,,param+func
final-fs,stat,path,,TaintedPath,no,,,param
final-fs,writeFile,path,,TaintedPath,no,,,param+func
find-root,findRoot,start,,TaintedPath,,,,
fis-kernel,del,rPath,,TaintedPath,,,,
fis-kernel,touch,path,,TaintedPath,no,,,param+func
fis3,isFile,path,"路径
",TaintedPath,,,,
flatsheet,compileView,filepath,,TaintedPath,,,,
flickr-with-uploads,fromFilepath,credentials_filepath,,TaintedPath,,,,
flood-element,main,rootPath,,TaintedPath,,,,
format-package-json,write,file,,TaintedPath,,,,
fortune-tech,langData,key,,TaintedPath,,,,
fs-extend,mkdirSync,fullpath,,TaintedPath,,,,
fs-extend,rmSync,fullpath,,TaintedPath,,,,
fs-extended,createDirSync,dir,,TaintedPath,,,,
fs-extended,emptyDirSync,dir,*,TaintedPath,,,,
fs-extended,moveDirSync,src,,TaintedPath,,,,
fs-extra,copySync,src,,TaintedPath,,,,
fs-extra-promise,isDirectory,path,,TaintedPath,,,,
fs-jetpack,inspectTree,path,,TaintedPath,,,,
fs-jetpack,moveAsync,from,,TaintedPath,,,,
fs-kit,isDirectory,path_,,TaintedPath,,,,
fs-kit,recursiveParentSearch,rightPart,,TaintedPath,no,,dev who use this package would know this is a filesystem lib,param+func+README
fs-magic,copy,dst,,TaintedPath,,,,
fs-nextra,copyFileAtomic,destination,,TaintedPath,,,,
fs-nextra,createSymlinkAtomic,source,,TaintedPath,,,,
fs-nextra,unTargz,inputFile,,TaintedPath,,,,
fs-tools,findSorted,pathname,,TaintedPath,,,,
fs-tools,mkdirSync,path,,TaintedPath,,,,
fs-updater,constructor,outputPath,,TaintedPath,,,,
fs-utils,readFile,filepath,,TaintedPath,,,,
fs2,fs2,dest,,TaintedPath,,,,
fs2obj,fs2obj,path,,TaintedPath,,,,
funclib,size,file,": string
",TaintedPath,,,,
functionscript,load,functionsPath,,TaintedPath,,,,
functionscript,load,rootPath,,TaintedPath,,,,
functionscript,readFiles,rootPath,,TaintedPath,,,,
gapitoken,GAPI,keyFile,,TaintedPath,no,,,param+README
garush-storage,loadYaml,fileLocation,,TaintedPath,,,,
garush-storage,mkdir,path,,TaintedPath,,,,
garush-storage,mkdirParentFolder,fileName,,TaintedPath,,,,
gatsby-graphql-source-toolkit,writeCompiledQueries,outputDir,,TaintedPath,,,,
gatsby-plugin-sharp,getImageSize,absolutePath,,TaintedPath,no,,,param
gebo-utils,_getSafeFileName,directory,,TaintedPath,,,,
generate-evb,generate,path2Pack,,TaintedPath,,,,
generator-jhipster,buildApplication,profile,"dev | prod
",CommandInjection,,,,
geoip,City,file,,TaintedPath,no,,,param
geoip,Country6,file,,TaintedPath,,,,
gerar-boletos,pdfFile,filename,,TaintedPath,,,,
git-fs,git-fs,repo,,TaintedPath,,,,
git-hooks-win,uninstall,workingDirectory,,TaintedPath,no,,,param
git-issues,fromProvider,providerName,"The provider name (currently supported `""bitbucket""` and `""github""`).
",TaintedPath,,,,
git-parse,checkoutCommit,hash,,CommandInjection,,,,
git-state,untracked,repo,,TaintedPath,,,,
github-webhook,createServer,log,,TaintedPath,no,,log file for the server,param+README
gitlog,gitlog,repo,,TaintedPath,,,,
glimmer-analyzer,Project,projectDir,,TaintedPath,,,,
gpu.js,alias,name,,CodeInjection,yes,,alias put `name` to another function (although this is probably fine as this is code-related),param+func+func doc
gql2ts-base,readFile,fileName,,TaintedPath,no,,,param+func
gqlx-js,readSchemaFromFile,path,,TaintedPath,,,,
gqlx-js,readSchemaFromFileAsync,path,,TaintedPath,no,,,param+func
graceful-fs,copyFile,dest,,TaintedPath,,,,
graphql-ruby-client,sync,apolloCodegenJsonOutput,,TaintedPath,,,,
grunt-saucelabs,files,dir,,TaintedPath,,,,
guacamole,addNormalizedBrowsersFromFile,filePath,,TaintedPath,,,,
gulp-htmlhint,htmlhintPlugin,htmlhintrc,,TaintedPath,no,,,README
gulp-merge-glue-css,mergeIconCss,iconCssPath,,TaintedPath,,,,
gulp-pipeline,chmod,from,,TaintedPath,no,,,func
gulp-pipeline,read,filepath,,TaintedPath,,,,
gulp-spawn-mocha,gulp-spawn-mocha,cwd,,TaintedPath,,,,
hardhat,hardhat,dirOut,,TaintedPath,no,,,param
harp-editor,start,boilerplate,,TaintedPath,,,,
hash-and-cache,hash-and-cache,execWorkingDirectory,,TaintedPath,,,,
heroku-exec-util,ssh,dynoUser,,CommandInjection,,,,
home-config,HomeConfig,filename,,TaintedPath,,,,
homebridge-plugin-wrapper,HomebridgeWrapper,homebridgeConfigPath,,TaintedPath,no,,,param
how-to-npm,cpr,from,,TaintedPath,no,,"cpr = ""cp -r""",unclear
html-wiring,appendStylesDir,sourceStyleDir,,TaintedPath,,,,
html-wiring,appendToFile,path,,TaintedPath,,,,
html2js-browserify,html2js-browserify,file,,TaintedPath,,,,
htmlprocessor,process,filePath,,TaintedPath,,,,
husky,install,dir,,TaintedPath,no,,,param+func
hyperproxy,HyperProxy,key,,TaintedPath,no,,from the API doc we know that it is ssl-key for HTTPS connection,param+func doc
i18next-parser,getCatalog,path,,TaintedPath,,,,
icejs-project,icejs-project,dir,,TaintedPath,,,,
id3-writer,Image,file,"Path of the file to work on
",TaintedPath,,,,
idoc,copyThemeFileAsset,file,,TaintedPath,no,,,param+func
image,Stack,imageType,,TaintedPath,,,,
image-overlayer,overlayImage,imageToOverlayPath,,TaintedPath,,,,
image-overlayer,overlayImage,origImagePath,,CommandInjection,,,,
images-grabber,downloadImage,index,Index of image,TaintedPath,,,,
immutable-css,processFiles,customCssFile,,TaintedPath,,,,
importer,importer,path,,TaintedPath,,,,
importer,main,outputDirectory,,TaintedPath,no,,,param
index-require,index-require,dirname,,TaintedPath,,,,
indian-ocean,writeDataSync,outPath,,TaintedPath,,,,
init-skeleton,initSkeleton,alias,"filesystem path or skeleton url
",TaintedPath,no,,explained in docstring: alias filesystem path or skeleton url,param doc
inject-client,cmd,command,,CommandInjection,no,,,param+func
inject-client,exec,command,,CommandInjection,,,,
injectify,run,command,,CommandInjection,no,,,param+func
inline,getDataURI,path,,TaintedPath,,,,
internal-carto.js,execute,sql,,CodeInjection,yes,,sql flows into mustache template,param+func
is-dir,isDir,path,,TaintedPath,no,,,param+func
is-progressive,fileSync,filepath,,TaintedPath,,,,
isexe,isexe,path,,TaintedPath,,,,
ispriter,run,options,,TaintedPath,no,,"kind of surprising: the package is for writing css file (the `run` only does one thing: calls a function, which states that the param `options` can be a file)",README
istanbul-coverage-enforcer,enforce,thresholdPath,,TaintedPath,no,,,param
jacob,elaborateLexFile,tokenfile,,TaintedPath,no,,,param+func
jade,filter,name,,TaintedPath,,,,
jason-the-miner,loadConfig,configPath,"The path to the config file
",TaintedPath,,,,
javascript-to-typescript,execute,cmd,,CommandInjection,no,,,param+func
jest-runtime,requireActual,from,,TaintedPath,,,,
jest-runtime,requireModule,moduleName,,TaintedPath,,,,
jhipster-core,exportToJDL,path,the path where the file will be written.,TaintedPath,,,,
jhipster-core,parseFromDir,dir,,TaintedPath,,,,
jitdb,jitdb,indexesPath,,TaintedPath,no,,,param+func
jive-sdk,fsTemplateCopy,source,,TaintedPath,,,,
jive-sdk,fscopy,source,,TaintedPath,,,,
jive-sdk,prepare,appsDir,,TaintedPath,no,,,param+func
jive-sdk,recursiveDirectoryProcessor,targetRoot,,TaintedPath,,,,
jjade,filter,name,,TaintedPath,,,,
jscpd-monorepo,namespace,name,,TaintedPath,yes,,name of the namespace of the DbStore,param+func
jscrewit,calculateSolutionType,replacement,,CodeInjection,yes,,jscrewit converts JavaScript code into JSFuck,README
jslint,load,edition,,TaintedPath,,,,
json-fs-store,json-fs-store,dir,,TaintedPath,,,,
json-sql-builder2,SQLBuilder,languageModule,,TaintedPath,,,,
jsoncan,linkTableUniqueFile,name,,TaintedPath,,,,
jsoncan,open,name,,TaintedPath,,,,
jsoncan,queryAll,table,,TaintedPath,,,,
jsoncan,readAll,table,,TaintedPath,,,,
jsoncan,readAllTexts,table,,TaintedPath,,,,
jsoncan,saveSync,table,,TaintedPath,,,,
jsoncan,writeTableUniqueAutoIncrementFileSync,name,,TaintedPath,,,,
jspm,Project,projectPath,,TaintedPath,,,,
jsx-presentation,generate,outDir,,TaintedPath,,,,
jsxhint,makeIgnores,ignoreFile,"Filename to read ignore list from
",TaintedPath,,,,
junit-viewer,parse,fileName,,TaintedPath,,,,
just-repo,gitHashObject,root,,TaintedPath,,,,
just-repo-utils,getConfigLoader,folder,,TaintedPath,,,,
just-scripts-utils,spawn,cmd,,CommandInjection,no,,,param
kado,StaticServer,root,,TaintedPath,,,,
kapok-js,Kapok,command,,CommandInjection,no,,,param
keycloak-connect,Keycloak,keycloakConfig,"Keycloak-specific configuration.
*",TaintedPath,,,,
khal,download,destination,,TaintedPath,,,,
kmc,combo,depFileName,,TaintedPath,,,,
kminer,shell_read,filename,,TaintedPath,no,,,param+func
knightjs,knightjs,file,,TaintedPath,,,,
koa-range,koa-range,body,,ReflectedXss,no,,the client would know as this is a HTTP range request lib,param+README
koop-localfs,createWriteStream,path,,TaintedPath,,,,
koop-localfs,readFile,path,,TaintedPath,,,,
kss-search,loadFile,source,,TaintedPath,,,,
ktemplate,generateSourceMap,generatedFilePath,"与 sourceMap 相关联的生成文件的路径,
其中文件名应是主模版文件夹名，在compile方法中生成
",TaintedPath,no,,,param+param doc
kubeutils,loadResources,root,,TaintedPath,no,,root=root of the repo,param+func
kuzzle-proxy,loadPlugin,pluginPath,,TaintedPath,,,,
lambda-module,lambda-module,templatePath,,TaintedPath,no,,,param
latte_lib,stat,path,,TaintedPath,no,,,param+func
law,law,folder,,TaintedPath,,,,
lazy-require,installAsync,name,,TaintedPath,,,,
lcov-parse,parse,file,,TaintedPath,no,,,param+func
lemon-core,create,table,"table-name
",TaintedPath,,,,
lerna-monorepo,cliRunner,cwd,,TaintedPath,,,,
lerna-monorepo,gitInit,cwd,,TaintedPath,,,,
lerna-monorepo,spawn,command,,CommandInjection,,,,
lerna-monorepo,symlinkBinary,srcPackageRef,,TaintedPath,,,,
less-middleware,less-middleware,source,,TaintedPath,no,,,param+README
libnpx,npx,npxPkg,,TaintedPath,,,,
libp2p-websocket-star-rendezvous,start,pfx,,TaintedPath,no,,pfx=pfx files,param+README
libyaml,readFile,filename,,TaintedPath,,,,
libyaml,writeFileSync,filename,,TaintedPath,,,,
license-checker,parseJson,jsonPath,,TaintedPath,,,,
lien,addPage,method,"The request methods to be handled (default: `""all""`) or an object:
*    - `method` (String): The HTTP method.
- `before` (Array|Function): A function or an array of middleware functions to be executed *before* the main function.
- `after` (Array|Function): A function or an array of middleware functions to be executed *after* the main function.
*",TaintedPath,,,,
lighthouse4u-fs,read,relPath,,TaintedPath,,,,
line-reader,open,filenameOrStream,,TaintedPath,no,,,param+func
linklocal,list,dirpath,,TaintedPath,,,,
linq,all,predicate,,CodeInjection,yes,,,param+README
linq,leftJoin,outerKeySelector,,CodeInjection,yes,,linq is a query language for data objects,param+func+README
linq,pairwise,selector,,CodeInjection,yes,,,param+README
linq,repeatWithFinalize,finalizer,,CodeInjection,yes,,,README
linq,toLookup,keySelector,,CodeInjection,yes,,linq is a query language for data objects,param+func+README
load,load,location,,TaintedPath,no,,,param+func
local.dev,add,port,,CommandInjection,yes,,,param+func
locutus,sha1_file,str_filename,,TaintedPath,no,,,param+func
loopback-connector-mailgun,createFileStream,file,,TaintedPath,,,,
lsof,rawUdpPort,port,,CommandInjection,yes,,,param+func
lucy-live,watch,path,,TaintedPath,no,,,param+func
lwc,getModulePath,name,,TaintedPath,,,,
magicli-test-machine,execMethodViaCli,cliPath,,CommandInjection,no,,,param+func
mail-io,exists,path,"The path to check for existence
*",TaintedPath,no,,,param+func+param doc
makecode,saveBuiltFilesAsync,dir,,TaintedPath,no,,,param+func
marge,init,defaultConfigFilePath,,TaintedPath,,,,
markdown-to-pdf,getFileContent,file,,TaintedPath,,,,
marked-metadata,MarkedMetaData,file,,TaintedPath,,,,
mary-poppins,couldYouPlease,taskName,,TaintedPath,,,,
masonry,masonry,dir,,TaintedPath,,,,
mathball,mathball,arg,,TaintedPath,,,,
mathjax,loadModule,a,,CodeInjection,yes,,minified source code,param+func
mendel-resolver,fileExists,filePath,,TaintedPath,no,,,param+func
metaschema,loadSchema,fileName,,TaintedPath,,,,
microcule,requireServiceSync,path,,TaintedPath,,,,
migrate-to-graph,sqlToGraphCmd,templateFile,,TaintedPath,,,,
mime,load,file,(String) path of file to load.,TaintedPath,,,,
mime-sniffer,lookup,file,,TaintedPath,,,,
Mimic,readConfig,filePath,,TaintedPath,,,,
mip-extension-validator,validate,path,"路径
",TaintedPath,,,,
mira,getStack,fileName,"(Optional) Can provide an arbitary name to
lookup if name exists in configs.",TaintedPath,,,,
mjml-core,mjml2html,skeleton,,TaintedPath,,,,
mkdirp,mkdirP,p,,TaintedPath,,,,
mkpath,mkpath,dirpath,,TaintedPath,,,,
ml_edu_js,saveFullTree,path,,TaintedPath,,,,
mnode,createFile,filePathName,,TaintedPath,,,,
mnode,readSync,filePath,,TaintedPath,,,,
mnode,traverseSync,dirPath,,TaintedPath,,,,
mocha,e,t,,TaintedPath,,,,
mocha,ui,e,,TaintedPath,yes,,very generic name,
moment,ha,a,,TaintedPath,,,,
mongodb-backup,backup,root,,TaintedPath,no,,explained in README,param+README
mongodbbackup,run,configFile,,TaintedPath,no,,,param
mongorilla,getModel,collectionName,,TaintedPath,,,,
monopack-builder,build,mainJs,,TaintedPath,,,,
monopack-dependency-collector,collectDependency,packageName,,TaintedPath,yes,,,param+func
mount-smbfs,mount,sharepath,,CommandInjection,,,,
movies,load,file,(String) path of file to load.,TaintedPath,no,,,param+func+param doc
mp3dat,stat,f,,TaintedPath,,,,
mr-doc,generate,o,,TaintedPath,,,,
mrapi-workspace,resolveConfig,cwd,,TaintedPath,,,,
msee,parseFile,file,,TaintedPath,,,,
mu2,compile,filename,"The name of the file to compile. If the filename
starts with a '/', the file is assumed to be absolute, else it is
relative to mu.root.
",TaintedPath,,,,
muhammara,PDFRStreamForFile,inPath,,TaintedPath,,,,
multijson-config,parseFile,fname,,TaintedPath,,,,
music_services_shield,executeScriptAsSudo,script,,CommandInjection,no,,,param+func
mustache-express,create,directory,,TaintedPath,no,,,param+func
mvn-artifact-download,download,destination,,TaintedPath,no,,,param+func
myLib,boundProblem,unsafe,,CommandInjection,,,,
mz,exists,filename,,TaintedPath,,,,
nad,inject,nodeDir,,TaintedPath,,,,
nano-gateway,nano-gateway,configPath,,TaintedPath,no,,,param
native-css,convert,cssFile,,TaintedPath,,,,
nativejsx,parse,file,"A path to and including the JSX file.
",TaintedPath,,,,
natural-synaptic,save,filename,,TaintedPath,,,,
ncp,ncp,errs,,TaintedPath,,,,
ndu,generateDependencyStats,cwd,,TaintedPath,,,,
nesly-assembler,writeFile,filename,,TaintedPath,,,,
nest-shopify,loadRequestDocument,filePath,,TaintedPath,no,,,param+func
netrc,netrc,file,,TaintedPath,,,,
nextmail,renderEmail,name,,TaintedPath,,,,
nexus,readGit,appPath,,TaintedPath,no,,,param
ng-parse-module,parse,file,,TaintedPath,no,,,param+func
nicer-fs,exists,fileOrDir,,TaintedPath,no,,,param+func
nixt,mkdir,path,,TaintedPath,no,,,param+func
node-api-toolkit,node-api-toolkit,filePath,,TaintedPath,no,,,param
node-dir,readFilesStream,dir,"path of dir containing the files to be read
",TaintedPath,,,,
node-librealsense,enableDeviceFromFile,fileName,"the playback file of the device
",TaintedPath,,,,
node-librealsense,writeFrameMetadataToFileAsync,path,"target file path
",TaintedPath,,,,
node-map-directory,node-map-directory,directory,,TaintedPath,,,,
node-patternlibrary,node-patternlibrary,outFile,"Path to write to.
",TaintedPath,,,,
node-static,respondGzip,pathname,,TaintedPath,,,,
node-telegram-bot-api,addStickerToSet,pngSticker,"Png image with the sticker, must be up to 512 kilobytes in size,
dimensions must not exceed 512px, and either width or height must be exactly 512px
",TaintedPath,no,,,param+param doc
node-uploadx-src,truncateFile,path,,TaintedPath,,,,
node-xml,parseFile,filename,,TaintedPath,,,,
nodefy,convert,inputPath,,TaintedPath,,,,
nodefy,convert,outputPath,,TaintedPath,,,,
nodejs-ad-api,rootRequire,name,,TaintedPath,,,,
nodejs-starter-kit,save,location,,TaintedPath,,,,
nodelist,nodelist,nodelistPath,,TaintedPath,no,,,param
nodeon-file,read,filepath,,TaintedPath,,,,
nosqlite,rimraf,p,,TaintedPath,,,,
notebook-generator,notebook-generator,output,,TaintedPath,no,,,param+func
now-builders,getNowIgnore,path,,TaintedPath,,,,
now-client,parseNowJSON,filePath,,TaintedPath,,,,
npm-git-publish,publish,packageDir,,CommandInjection,yes,,,param+func
npm-lifecycle,lifecycle,wd,,TaintedPath,,,,
npmversion,createCommitGitIfNeeded,packageJsonVersion,,CommandInjection,,,,
npmversion,getRemoteName,cwd,,TaintedPath,,,,
npmversion,promisedSpawn,cwd,,TaintedPath,,,,
npmversion,updateJsonFile,jsonFilePathOrEntry,,TaintedPath,no,,,param+func
nshtools,cp,source,"the filename for the copy source
",TaintedPath,no,,,param+func+param doc
nuclide,createMultiLspLanguageService,command_,,TaintedPath,,,,
nuclide,getGeneratedFileTypes,dirPath,,TaintedPath,,,,
nuclio-ui,installRequire,src,"the source path of the intended module to import
",TaintedPath,no,,,param+param doc
o_O,bindRuleToElement,expressionString,,CodeInjection,no,,,param+func doc
oas-kit,convertFile,filename,,TaintedPath,,,,
obojobo-lib-utils,getOboNodeScriptPathsFromPackageByType,oboNodePackage,,TaintedPath,,,,
observey,handleWatch,path,,TaintedPath,no,,,param+func
office,getType,filename,,TaintedPath,,,,
oh-crap,crap,dir,,TaintedPath,,,,
oicq,Client,uin,,TaintedPath,,,,
oneblog,createApp,basePath,,ReflectedXss,yes,,,param+func
openapi-workspaces,parseOpenAPIFromRepoWithSourcemap,branch,,CommandInjection,,,,
opensearch-dashboards,createDefault,repoRoot,,TaintedPath,,,,
orientjs,createCommand,name,"The name of the command.
",TaintedPath,,,,
os-fonts,getFontsInDirectory,dir,"The directory to read
",TaintedPath,,,,
package-lookup,resolveDir,dir,,TaintedPath,,,,
package-store,read,storePath,,TaintedPath,,,,
packages-parser,parseFile,path,,TaintedPath,,,,
pacscan,flatSyncFunction,pacscanPath,,TaintedPath,,,,
pagemaki,getTemplate,name,"[description]
",TaintedPath,,,,
pandora,backupLog,file,,TaintedPath,no,,,param
pandora,getStructureViaNewProcess,appDir,,TaintedPath,,,,
pastebin-js,createPasteFromFile,filename,,TaintedPath,,,,
pastebin-js,createPasteFromFile,filename,"Location of the filename
",TaintedPath,,,,
path-exists,path-exists,fp,,TaintedPath,,,,
patron,RequireAllSync,dir,,TaintedPath,,,,
pcjs,loadMap,sMapFile,,TaintedPath,no,,,param+func
pdf-officegen,createDocument,wordFile,,TaintedPath,no,,,param+func
periodicjs.core.utilities,async_run_cmd,cmd,"shell command
",CommandInjection,,,,
pi-utils,setCreds,ssid,"SSID of the network to connect to
",CommandInjection,yes,,,param+func+param doc
pk-lib-cfgapi,writeCfgSync,name,,TaintedPath,,,,
plato,inspect,outputDir,,TaintedPath,,,,
pln,startup,sessionsPath,,TaintedPath,,,,
plugcore,getStats,filePath,,TaintedPath,no,,,param+func
png-diff,outputDiff,destPath,,TaintedPath,,,,
pnpm-shrinkwrap,pnpm-shrinkwrap,pkgPath,,TaintedPath,no,,,param
pont-engine,generateFiles,dir,,TaintedPath,,,,
portal-env,checkEnvironment,envName,,TaintedPath,,,,
portal-env,sanityCheckDir,dirName,,TaintedPath,,,,
portfinder,getSocket,path,,TaintedPath,no,,,param
postgraphile,setBody,body,,ReflectedXss,no,,,param+func
ppspider,downloadImg,saveDir,"图片保存目录
",TaintedPath,no,,,param+func
pquire,pquire,pth,,TaintedPath,,,,
pre-push,exec,bin,"Binary that needs to be executed
",CommandInjection,no,,,param+param doc
preprocess,preprocessFile,destFile,,TaintedPath,no,,,param+func
project-watchtower,getBuildConfig,root,,TaintedPath,,,,
promise-spawner,promise_spawn,command,,CommandInjection,no,,,param
proofable,verifyTrieWithSortedKeyValues,dotGraphOutputPath,"Graphviz Dot Graph output file path. Default: `undefined` (don't
output)",TaintedPath,,,,
protractor,compileFileClient,filename,,TaintedPath,,,,
prpl-server,makeHandler,root,,TaintedPath,,,,
pstream-json,parseFileAsStream,fileName,,TaintedPath,,,,
pug,compileFileClient,filename,,TaintedPath,,,,
pug-lint,checkDirectory,directoryPath,,TaintedPath,no,,,param+func
pugify,pugify,file,,TaintedPath,,,,
punch,readConfigFile,config_path,,TaintedPath,,,,
pwabuilder-lib,getPackageInformation,packageName,,TaintedPath,,,,
pwabuilder-lib,installPackage,packageName,,TaintedPath,yes,,,param+func
qpp-measures-data,getMeasuresData,performanceYear,,TaintedPath,,,,
quickthumb,static,root,,TaintedPath,,,,
R2,exec,0,,TaintedPath,,,,
r2pipe,syscmdj,command,,CommandInjection,no,,,param
r3alb0t,openJSON,JSONFile,,TaintedPath,,,,
rd,eachDirSync,dir,,TaintedPath,,,,
react-app-alias,configFilePathSafe,configPath,,TaintedPath,,,,
react-dev-utils,formatter,file,,TaintedPath,,,,
react-jade,compileFile,filename,,TaintedPath,no,,,param+func
react-native-code-push,launchInstalledApplication,appId,,CommandInjection,yes,,,param+func
react-native-code-push,restartApplication,appId,,CommandInjection,,,,
react-native-test-app,getAppName,packagePath,,TaintedPath,,,,
read-file-relative,read,relativePath,,TaintedPath,no,,,param+func
read-ini-file,sync,fp,,TaintedPath,,,,
readdir,readSync,basePath,,TaintedPath,,,,
recur-fs,mvSync,destination,,TaintedPath,,,,
relaxedjs,masterToPDF,outputPath,,TaintedPath,,,,
rematch-cli,init,projectName,,TaintedPath,,,,
remote-merge,applyPackage,originalDir,,TaintedPath,,,,
remote-merge,save,filePath,,TaintedPath,,,,
removeNPMAbsolutePaths,removeNPMAbsolutePaths,filePath,,TaintedPath,no,,"named ""AbsolutePaths"" but is tainted",func
request-capture-har,saveHar,fileName,,TaintedPath,,,,
request-har-capture,saveHar,fileName,,TaintedPath,no,,,param+func
request-prom,postFile,file,"the full path to the file or a stream.Readable.
",TaintedPath,,,,
resfet-dashboard,applyConfig,configPath,,TaintedPath,,,,
reskript,run,file,,TaintedPath,,,,
reskript,run,outDirectory,,TaintedPath,,,,
resolve-link-target,getLinkTarget,linkPath,,TaintedPath,,,,
resxclone,readXml,name,,TaintedPath,,,,
revai-node-sdk,submitJobLocalFile,filepath,"Path to local file to be transcribed. Assumes the process has access to read this file.
",TaintedPath,,,,
