Package,Function,Parameter,Parameter Doc,Sink,Unusual,PR,Comments,Determined By
apple-java-script,unserialize,value,,CodeInjection,yes,,,
appmaker,render,str,,CodeInjection,,,,
appworks,downloadMaterialTemplate,template,,TaintedPath,,,,
ar.js,read,filename,,TaintedPath,,,,
ar.js,requireFunction,signature,,CodeInjection,,,,
archiver,_moduleAppend,callback,,CodeInjection,no,,,
archiver,_onStatQueueTask,callback,,CodeInjection,no,,,
ardrone-autonomy,log,path,,TaintedPath,,,,
argparse,call,string,,TaintedPath,yes,not in dataset csv,,
arsenal,addFile,filePath,"file path containing JSON
authentication info (see {@link addAccounts()} for format)
",TaintedPath,,,,
arsenal,delete,key,"key of the object
",TaintedPath,yes,https://github.com/scality/Arsenal/pull/2020,unsafe path construction,
arsenal,get,key,"key of the object
",TaintedPath,yes,https://github.com/scality/Arsenal/pull/2020,unsafe path construction,
asar,extractAll,dest,,TaintedPath,,,,
assemble-handlebars,compile,str,,CodeInjection,no,,,param+func
assemble-yaml,extend,src,"[description]
",TaintedPath,,,,
asset-frequency-graph,asset-frequency-graph,destination,,TaintedPath,,,,
async,fn,done,,CodeInjection,no,,,
async,nextTick,callback,,CodeInjection,no,,,
async,nextTick,fn,,CodeInjection,no,,,
async,parse,text,,CodeInjection,,,,
async,requestAnimFrame,callback,,CodeInjection,no,,,
async,setImmediate,callback,,CodeInjection,no,,,
async,setImmediate,fn,,CodeInjection,no,,,
async,worker,callback,,CodeInjection,no,,,
atelier,read,path,,TaintedPath,,,,
attachments-preprocessor-im,process,filename,,TaintedPath,,,,
audio-to-text,audio2Text,file,"文件路径
",TaintedPath,no,,,param+func+param doc
augur-node,resetDatabase,id,,TaintedPath,,,,
auth-center,auth-center,options,,TaintedPath,,,,
auth-center,default,options,,TaintedPath,,,,
auth0-lock,parse,text,,CodeInjection,,,,
auth0-source-control-extension-tools,loadFile,file,,TaintedPath,,,,
auto-load,autoload,baseDirectory,,TaintedPath,,,,
avalon2,parseJSON,data,,CodeInjection,,,,
avalonjs,avalonjs,data,,CodeInjection,yes,,,
avalonjs,nextTick,fn,,CodeInjection,,,,
avro-js,parse,schema,,TaintedPath,,,,
avsc,createFileEncoder,path,,TaintedPath,,,,
awesome-js-funcs,throttle,func,,CodeInjection,,,,
awesome-typescript-loader,exec,args,,CommandInjection,yes,,"in test code, so no practical impact",
awesome-typescript-loader,execNode,args,,CommandInjection,yes,,"in test code, so no practical impact",
awesome-typescript-loader,execWebpack,args,,CommandInjection,yes,,"in test code, so no practical impact",
awesome-typescript-loader,install,name,,CommandInjection,yes,,"in test code, so no practical impact",
aws-xray-sdk-node,setAWSWhitelist,source,"The path to the custom whitelist file, or a whitelist source JSON object.
",TaintedPath,no,,explained in docstring: source is filepath,param+param doc
aws-xray-sdk-node,setLocalRules,source,,TaintedPath,,,,
aws-xray-sdk-node,setSamplingRules,source,"The path to the custom sampling rules file, or the source JSON object.
",TaintedPath,no,,explained in docstring,param+param doc
axios,send200,body,,ReflectedXss,no,,,
axios,send404,body,,ReflectedXss,no,,,
axios,sendResponse,body,,ReflectedXss,no,,,
az,load,url,,TaintedPath,,,,
azure-pipelines-task-lib,_checkPath,p,,TaintedPath,,,,
azure-pipelines-task-lib,_which,tool,,TaintedPath,,,,
azure-pipelines-task-lib,cp,options,,TaintedPath,,,,
azure-pipelines-task-lib,cp,source,,TaintedPath,,,,
azure-pipelines-task-lib,ls,paths,,TaintedPath,,,,
azure-pipelines-task-lib,mv,options,,TaintedPath,,,"explained in docstring: options is string -r, -f or -rf for recursive and force",
azure-pipelines-tasks-common-packages,downloadArchive,url,,CommandInjection,yes,,download url in command line,param+func
azure-pipelines-tool-lib,cacheDir,sourceDir,,TaintedPath,,,,
azure-storage,createAppendBlobFromLocalFile,localFileName,"The local path to the file to be uploaded.
",TaintedPath,,,,
babel,babel,loc,,TaintedPath,,,,
babel-compile,transformDirectorySync,outDir,,TaintedPath,no,,,param+func
babel-eslint,readFixture,id,,TaintedPath,no,,doc comment explains,
backbone,exec,text,,CodeInjection,no,,,
backbone,globalEval,data,,CodeInjection,no,,,
backbone,parse,text,,CodeInjection,yes,,false positive; sophisticated sanitisation,
backbone-template-manager,compile,html,,CodeInjection,,,,
backbone-template-manager,compile,html,"HTML input.
",CodeInjection,,,,
backbone.paginator,callTimer,func,,CodeInjection,no,,,param
backendjs,delIcon,id,,TaintedPath,,,,
backendjs,getFile,file,,TaintedPath,,,,
backfill-repo,setupFixture,fixtureName,,TaintedPath,yes,,in test code (fixture is some kind of directory),param
badjs-report,badjs-report,cb,,CodeInjection,,,,
bagofcli,command,base,": base directory where the client module is located,
used as a base directory to read command file and package.json file,
ideally the value would be the client's __dirname
",TaintedPath,,,,
bananenbase,addModule,name,,TaintedPath,,,,
bash-glob,glob,pattern,,TaintedPath,,,,
bash-glob,promise,pattern,,TaintedPath,,,,
bash-glob,sync,pattern,,TaintedPath,,,,
basys,lint,projectDir,,TaintedPath,no,,,param
basys,start,env,,TaintedPath,,,,
batchelor,create,tableName,,TaintedPath,,,,
bbop,parse,text,,CodeInjection,yes,,method for JSON.parse,param+func
beame-sdk,createDir,dirPath,,TaintedPath,,,,
beame-sdk,importCredentials,file,"path to file with encrypted credentials
",TaintedPath,,,,
beame-sdk,saveFileAsync,dirPath,,TaintedPath,,,,
bebop-tools,check,path,,CommandInjection,,,,
beeline,staticFile,filePath,,TaintedPath,,,,
beezlib,cp,src,"コピー元のファイルパス
",TaintedPath,,,,
beezlib,hbs2hbsc2html,hbsfile,"src hbs file name
",TaintedPath,,,,
bem,fsWalkTreeCb,root,,TaintedPath,,,,
bem,getTechClass,module,"Path to tech module or module object.
",TaintedPath,,,,
benchmarks,deoptigate,url,,CommandInjection,yes,,the package should be lit-benchmarks (not in csv),
benchmarks,deoptigate,url,,TaintedPath,no,,the package should be lit-benchmarks,
berlioz,use,commands,,TaintedPath,,,,
better-queue,use,store,,TaintedPath,,,,
bfile,copy,dest,,TaintedPath,,,,
big-integer,req,id,,TaintedPath,no,,,
bin-build,directory,dir,,TaintedPath,,,,
bingo-builder,build,filepath,,TaintedPath,,,,
bionode-bwa,BWA,alignment,,TaintedPath,,,,
bitmap-manipulation,Font,filePath,"Path to the JSON main file of the font
",TaintedPath,,,,
blazepack,detectTemplate,directory,,TaintedPath,,,,
blender,convert,destDir,,TaintedPath,,,,
blessed,_compile,str,,TaintedPath,yes,,"borderline case; interpretation as path is controlled by another parameter, but in any case ""str"" isn't a good name (not in csv)",
blessed,_tprefix,prefix,,TaintedPath,no,,"it's ""prefix"" as in ""path prefix""",
blessed,compileTerminfo,term,,TaintedPath,,,,
blessed,exec,file,,CommandInjection,no,,,
blessed,exists,program,,CommandInjection,yes,,(not in csv),
blessed,findFile,start,,TaintedPath,no,,,
blessed,injectTerminfo,term,,TaintedPath,,,,
blessed,readTerminfo,term,,TaintedPath,,,,
blessed,refresh,callback,,TaintedPath,yes,,false positive; infeasible path (not in csv),
blessed,reset,callback,,TaintedPath,yes,,false positive; infeasible path (not in csv),
blessed,spawn,file,,CommandInjection,no,,,
blessed,toPNG,input,,TaintedPath,no,,,
blob,element,element,,CodeInjection,no,,,
blob,minifyJS,text,,TaintedPath,yes,,(not in csv),
blob,nextTick,callback,,CodeInjection,no,,,
blob,setImmediate,callback,,CodeInjection,no,,,
blocks,blocks,next,,CodeInjection,yes,,(not in csv),
bloggify-markdown-adapter,deleteArticle,id,,TaintedPath,,,,
bloggify-tools,init,name,,TaintedPath,,,,
blueimp-canvas-to-blob,loadSVGFromURL,url,,TaintedPath,,,,
blueimp-canvas-to-blob,read,data,,TaintedPath,,,,
blueimp-canvas-to-blob,readFileSync,data,,TaintedPath,,,,
blueimp-canvas-to-blob,setImmediate,callback,,CodeInjection,,,,
blueimp-tmpl,requestAnimFrame,callback,,CodeInjection,,,,
bobamo,generate,view,,TaintedPath,,,,
boll,inFixtureDir,dir,,TaintedPath,,,,
bonescript,attachInterrupt,handler,,CodeInjection,,,,
bootprint,run,input,"the input data (either the raw data as object, a filename as string or a url (string
starting with http/https)
",TaintedPath,,,,
bootstrap-3-typeahead,requestAnimFrame,callback,,CodeInjection,,,,
bootstrap-slider,requestAnimFrame,callback,,CodeInjection,,,,
bot-solutions,listToSpeechReadyString,locale,,TaintedPath,yes,,(archived),
bot-solutions,toSpeechDateString,locale,,TaintedPath,yes,,(archived),
bot-solutions,toSpeechString,locale,,TaintedPath,yes,,(archived),
bot-solutions,toSpeechTimeString,locale,,TaintedPath,yes,,(archived),
botbuilder,handleError,message,,ReflectedXss,yes,,sending error message,param+func
bottlenose,fromFile,filePath,,TaintedPath,,,,
bower,bower,id,,TaintedPath,no,,,
bower,command,command,,TaintedPath,yes,,only used in test code,
bower,commandFactory,id,,TaintedPath,no,,doc comment explains,
bower,readSync,file,,TaintedPath,,,,
bower,refs,source,,TaintedPath,no,,,
bpmn,addBpmnFilePath,processHandler,,TaintedPath,,,,
braces,braces,input,,CommandInjection,yes,,in example code,
bramqp,initialize,spec,,TaintedPath,,,,
brinkbit.js,setImmediate,callback,,CodeInjection,no,,,param+func
broccoli-file-mover,write,destDir,,TaintedPath,,,,
broccoli-filter,processFile,relativePath,,TaintedPath,no,,,param+func
broccoli-handlebars,writeTemplateSync,targetFile,,TaintedPath,no,,,param+func
broccoli-kitchen-sink-helpers,hashTree,fullPath,,TaintedPath,,,,
broccoli-kitchen-sink-helpers,symlinkOrCopyPreserveSync,sourcePath,,TaintedPath,,,,
broccoli-static-compiler,write,destDir,,TaintedPath,,,,
broccoli-terser-sourcemap,processFile,inFile,,TaintedPath,,,,
browser-resolve,resolve,id,,TaintedPath,,,,
browser-resolve,sync,id,,TaintedPath,,,,
browser-sync,handleNoCommand,input,,TaintedPath,no,,doc comment (sort of) gives a hint,
browser-sync,watch,patterns,,TaintedPath,no,,"""patterns"" as in ""glob patterns""",
browserify,addTransform,opts,,TaintedPath,yes,,"the name ""opts"" isn't very descriptive (not in csv)",
browserify,check,src,,CodeInjection,no,,,
browserify,resolve,id,,TaintedPath,no,,,
browserify,transform,opts,,TaintedPath,yes,,"the name ""opts"" isn't very descriptive",
browserify,transform,tr,,TaintedPath,yes,,,param+func
bson,deserialize,buffer,,CodeInjection,no,,"this is by design, and anyone familiar with BSON would understand the risk",
bson,deserialize,buffer,"the buffer containing the serialized set of BSON documents.
",CodeInjection,no,,"this is by design, and anyone familiar with BSON would understand the risk",
bson,deserializeObject,buffer,,CodeInjection,no,,,
bson,deserializeStream,data,"the buffer containing the serialized set of BSON documents.
",CodeInjection,,,,
bson,downloadZip,version,,CommandInjection,yes,,false positive: version is first used in an URL that must exist in order for this code path to work,
buffalo,Response,buffer,,CodeInjection,,,,
buffalo,parse,buffer,,CodeInjection,,,,
buffered-spawn,buffered,command,,CommandInjection,no,,,param
build-config,stream,filename,,TaintedPath,,,,
build-scripts,downloadArchive,url,,CommandInjection,yes,,download url in command line ("These packages are only meant for use by in the box tasks - contributions will only be accepted for those purposes."),param+func
bull,process,concurrency,,TaintedPath,,,,
bull,process,handler,,TaintedPath,,,,
bull,setHandler,handler,,TaintedPath,,,,
bunyan,asyncForEach,arr,,TaintedPath,no,,"the name ""arr"" isn't very descriptive",
buster-test,load,reporter,,TaintedPath,,,,
bytenode,compileCode,javascriptCode,"JavaScript source that will be compiled to bytecode.
",CodeInjection,no,,,param+func+param doc
bytenode,compileFile,args,,TaintedPath,,,,
cacache,copyByDigest,dest,,TaintedPath,,,,
cacache,stream,cache,,TaintedPath,,,,
cache-swap,addCached,hash,,TaintedPath,,,,
cache-swap,getCached,hash,,TaintedPath,yes,,"hash is used as key/path, but `path` should be passed and then hashed",param
cache-swap,hasCached,hash,,TaintedPath,,,,
cache-swap,removeCached,category,,TaintedPath,,,,
can-compile,can-compile,options,,TaintedPath,,,,
canvas,main,query,,CommandInjection,yes,,"bad code, but only used internally",
cardano-graphql,loadQueryNode,name,,TaintedPath,,,,
cart-woocommerce,minifyFiles,extension,,TaintedPath,,,,
cartero,applyPostProcessorsToFiles,filePaths,,TaintedPath,,,,
catiline,onmessage,data,,CodeInjection,yes,,blatant eval,
cause-utils,query,selector,,CodeInjection,,,,
cews,WebServer,configs,,TaintedPath,,,,
cews,parseConfigs,configs,,TaintedPath,no,,,param+func
cf-abacus,plan,rpid,,TaintedPath,,,,
cfb,read,blob,,TaintedPath,,,,
cfdi,certificar,certificado,,TaintedPath,,,,
cfdi-to-json,extractGeneralData,path,,TaintedPath,no,,,param+func
cfs-dotenv,config,env,,TaintedPath,,,,
charged,spawn,name,,CommandInjection,yes,,,param+func
charlatan,addLocale,data,,TaintedPath,,,,
chart.js,element,element,,CodeInjection,no,,,
chart.js,requestAnimFrame,callback,,CodeInjection,no,,,
checksum,checksumFile,filename,,TaintedPath,,,,
child-process-async,exec,command,,CommandInjection,no,,,param+func
child-process-async,spawn,command,,CommandInjection,,,,
child-process-es6-promise,execFile,file,"A path to an executable file
",CommandInjection,,,,
chokidar,_remove,item,,TaintedPath,no,,not surprising considering the overall aim of the package,
chokidar,addOrChange,item,,TaintedPath,no,,not surprising considering the overall aim of the package,
chokidar,addOrChange,parent,,TaintedPath,no,,not surprising considering the overall aim of the package,
chokidar,checkExists,item,,TaintedPath,no,,not surprising considering the overall aim of the package,
chokidar,checkExists,parent,,TaintedPath,no,,not surprising considering the overall aim of the package,
chokidar,handleEvent,item,,TaintedPath,no,,not surprising considering the overall aim of the package,
chokidar,handleEvent,parent,,TaintedPath,no,,not surprising considering the overall aim of the package,
chrome-manifest,load,json,,TaintedPath,,,,
chumpi,read,dir,,TaintedPath,,,,
ci_monitor,say,sentence,,CommandInjection,,,,
ckeditor5-dev,getGitUrlFromNpm,name,"Name of the module.
",CommandInjection,,,,
ckeditor5-dev,getStatus,repositoryPath,"Absolute path to repository.
",CommandInjection,yes,,published but for dev only,param+func+param doc
ckeditor5-dev,isSymlink,path,,TaintedPath,,,,
ckeditor5-dev,linkDirectories,destination,,CommandInjection,,,,
class.extend,extend,className,,CodeInjection,yes,,,
classing,classing,name,,CodeInjection,,,,
classing,create,name,,CodeInjection,,,,
classing,create,name,"The name of the new class.
",CodeInjection,,,,
classing,createConstructor,name,"The name of the class.
*",CodeInjection,,,,
cldr,getPrioritizedDocumentsForLocale,type,,TaintedPath,,,,
cli,setArgv,arr,,TaintedPath,,,,
cli-fs,test,value,"The value to test.
",TaintedPath,,,,
cli-logger,flush,stream,"A file system path or existing stream.
",TaintedPath,,,,
cli-rewire,run,cmd,"Name of the executable to run
",CommandInjection,,,,
cli-usage,get,str,,TaintedPath,,,,
clmtrackr,Tbinop,cc,,CodeInjection,yes,,vague name,unclear
clmtrackr,mapreduce,init,,CodeInjection,,,,
clone-function,cloneFunction,func,"The function to clone.
",CodeInjection,,,,
closure-builder,copyFile,src,,TaintedPath,,,,
cloudappx-server,makePri,projectRoot,,CommandInjection,,,,
cloudinary,optionalRequire,moduleName,,TaintedPath,,,,
cloudtypes,parse,text,,CodeInjection,,,,
clss,namedFunction,args,,CodeInjection,,,,
clss,namedFunction,name,,CodeInjection,,,,
cluc,ensureEmptyDir,path,,TaintedPath,,,,
cluc,ensureEmptyDirSudo,path,,TaintedPath,,,,
cluc,generateTemplate,localPath,,TaintedPath,,,,
cluc,mkdirSudo,path,,TaintedPath,no,,,param+func
cluc,processTemplate,str,,CodeInjection,yes,,,param
cluster-service,start,config,,TaintedPath,,,,
clusterpost,removeDirectorySync,dirpath,,TaintedPath,,,,
clusterpost-lib,uploadFile,filename,,TaintedPath,,,,
cmake-js,execFile,0,,CommandInjection,,,,
cmd-promise,cmdPromise,commands,"command line command(s) string to run.
",CommandInjection,,,,
cmd-shim,cmdShimIfExists,to,,TaintedPath,,,,
cmdline,help,help,,TaintedPath,,,,
co-fs-plus,readdir,path,,TaintedPath,,,,
cobolscript,compileTemplateFile,filename,,TaintedPath,,,,
code-evaluator,saveCode,id,"used to identify code, input, binary files.
",TaintedPath,,,,
code-push-vsts-extension,performDeployTask,appName,,CommandInjection,,,,
code-push-vsts-extension,performDeployTask,platform,,CommandInjection,,,,
codewind-filewatcher,createWatcher,logDir,,TaintedPath,,,,
cody,cody,sitename,,TaintedPath,,,,
coffeescript,fork,path,,CommandInjection,no,,,
coffeescript,watch,base,,TaintedPath,no,,,
coffeescript,watch,source,,TaintedPath,no,,,
coinstac,unlinkFiles,runId,"run to unlink
",TaintedPath,,,,
combohandler,respondMiddleware,body,,ReflectedXss,no,,,param+func
commander,parseArgs,args,,TaintedPath,yes,,false positive,
common-errors,generateErrorClass,name,,CodeInjection,,,,
compare-size,compare-size,b,,TaintedPath,,,,
compat-tester,htmlFileAnalyzer,filePath,,TaintedPath,,,,
compile-sass,compileSassAndSave,cssPath,,CommandInjection,yes,https://github.com/eiskalteschatten/compile-sass/pull/16,,param+func
compile-sass,setupCleanupOnExit,cssPath,,TaintedPath,no,,,param+README
component-downloader,download,ref,,TaintedPath,,,,
composer,collectBasicDiagnostics,tmpDirectory,the temporary directory for collecting report output,TaintedPath,,,,
compress-images,index,input,,TaintedPath,,,,
compress-images,index,output,,CommandInjection,,,,
compromise,streamFile,s,,TaintedPath,,,,
concatenate,concatenate,cb,File to write or callback,TaintedPath,,,,
confax,getConfig,guildID,,TaintedPath,,,,
config-loader,load,file,,TaintedPath,,,,
config-store,configStore,config,,TaintedPath,,,,
configfile,spawn,filename,,CommandInjection,yes,,,param+func
configup,load,name,,TaintedPath,,,,
confortable,confortable,start,,TaintedPath,,,,
connect,handle,out,,CodeInjection,yes,,false positive (setImmediate),
connect-gzip,staticGzip,root,,CommandInjection,,,,
consolidate,consolidate,path,,TaintedPath,,,,
consolidate,onLoad,path,,TaintedPath,,,,
consolidate,render,str,,CodeInjection,yes,,(not in csv),
constantinople,isConstant,src,,CodeInjection,yes,,false positive; the eval is safe,
constantinople,toConstant,src,,CodeInjection,yes,,false positive; the eval is safe,
convector,readConfig,path,,TaintedPath,no,,,param+func
conventional-changelog-monorepo,createIfMissing,infile,,TaintedPath,,,,
convict,convict,def,,TaintedPath,no,,explained in doc: it reads config (def) from either an object or a file,README
copy-concurrently,copyFile,from,,TaintedPath,,,,
copy-dereference,copyDereferenceSync,dest,,TaintedPath,,,,
cordova-android,createPlatform,destination,"Destination directory, where insatll platform to
",TaintedPath,,,,
cordova-electron,Api,platformRootDir,,TaintedPath,no,,,param
cordova-lib,installPlugin,id,,TaintedPath,,,,
cordova-lib,runInstall,plugins_dir,,TaintedPath,no,,,param
cordova-lib,uninstallPlatform,id,,TaintedPath,,,,
cordova-lib,uninstallPlatform,project_dir,,TaintedPath,no,,,param
cordova-lib,uninstallPlugin,plugins_dir,,TaintedPath,no,,,param
core-js,core-js,name,,CodeInjection,yes,,"terrible code, but only used internally",
cortex-shrinkwrap,cortex-shrinkwrap,built_root,,TaintedPath,,,,
cosmos,getConfig,mode,,TaintedPath,,,,
couch-provider,addDocumentAttachment,name,,TaintedPath,,,,
couch-provider,getDocumentStreamAttachmentUri,name,,TaintedPath,,,,
couch-provider,removeDirectorySync,dirpath,,TaintedPath,no,,,param+func
couchdb-eval,evaluate,program,,CodeInjection,no,,,
cover,cover,debugDirectory,,TaintedPath,,,,
cover,hookAndReport,reporterName,,TaintedPath,,,,
coz,init,config,"Coz configuration.
",TaintedPath,no,,"I wouldn't find it surprising that ""config"" is interpreted as a path of a configuration file",
cozy-light,clearRequireCache,modulePath,App path to clear from require cache.,TaintedPath,,,,
cp,cp,dest,,TaintedPath,no,,,param+func+param doc
cp-file,cpFile,sourcePath,,TaintedPath,,,,
create-commun-app,CreateCommunApp,appName,,CommandInjection,,,,
create-commun-app,CreateCommunApp,appName,,TaintedPath,,,,
create-torrent,parseInput,input,,TaintedPath,,,,
cross-spawn,readShebang,command,,TaintedPath,no,,,
cross-zip,zip,outPath,,TaintedPath,,,,
cross-zip,zipSync,inPath,,TaintedPath,,,,
croxy,getBody,id,,TaintedPath,,,,
croxy,getDecodedBody,id,,TaintedPath,,,,
croxy,getDecodedWsMessage,id,,TaintedPath,,,,
crsh,createBlock,list,,TaintedPath,,,,
crypto-js,element,element,,CodeInjection,no,,,
cspell-lib,writeToFileRxP,filename,,TaintedPath,no,,,param+func
cspell-monorepo,checkText,filename,,TaintedPath,no,,,param
cspell-monorepo,isIgnored,file,,TaintedPath,,,,
cspell-monorepo,readFile,filename,,TaintedPath,,,,
css-blocks-monorepo,getBlockRelative,fromIdentifier,"The FileIdentifier that references the base location that the
import path is relative to.
",TaintedPath,,,,
css-blocks-monorepo,identifier,importPath,,TaintedPath,,,,
css-slap-chop,parse,ignore,,TaintedPath,yes,,code: require(options.ignore),param
csv-it,read,file,"The file path of the CSV file.
",TaintedPath,,,,
csvgeocode,generate,inFile,,TaintedPath,,,,
cubejs,deploy,directory,,TaintedPath,,,,
cubx-resource-resolver,resolve,input,,TaintedPath,,,,
cylon,create,Server,"which API plugin to use (e.g. ""http"" loads
cylon-api-http)
",TaintedPath,,,,
cypress,clearDataForHostname,hostname,,TaintedPath,,,,
cypress,launch,path,,CommandInjection,,,,
cyto,writeTemplate,outputRoot,,TaintedPath,no,,,param+func+param doc
d3.chart,callTimer,func,,CodeInjection,no,,,param
d3node-output,d3node-output,dest,,TaintedPath,no,,,param+func
damless,config,data,,TaintedPath,,,,
danfojs-base,$readJSON,filePath,"URL or local file path to JSON file.
",TaintedPath,,,,
dar-server,writeArchive,archiveDir,,TaintedPath,,,,
dat-share,create,fullDir,"Full path to directory of the dat
",TaintedPath,,,,
datapackage,Profile,profile,,TaintedPath,,,,
davos,pack,output,,TaintedPath,,,,
decentralized-internet,mkdirp,outputdir,,TaintedPath,,,,
decompress,decompress,input,,TaintedPath,no,,,
decompress,preventWritingThroughSymlink,destination,,TaintedPath,no,,,
decoy,setImmediate,callback,,CodeInjection,no,,,param+func
deferjs,defer,fn,,CodeInjection,,,,
deletable-branches,getRemoteUrl,remote,,CommandInjection,,,,
delivery-tracker,courier,slug,,TaintedPath,,,,
deparser,exportDependencyGraph,exportFilePath,,TaintedPath,,,,
depcheck,depcheck,rootDir,,TaintedPath,,,,
deps-report,webpackAliasResolver,webpackConfigFile,,TaintedPath,,,,
design-system,postcssCompile,inputPath,,CommandInjection,yes,,,param+func
dev-cert-authority,dev-cert-authority,host,,CommandInjection,yes,,,param+func
diablo2-protocol,listen,version,,TaintedPath,,,,
dialog,run,0,,CommandInjection,no,,the actual parameter is `cmd` (which is used like this: `var bin = cmd[0]`),unclear
digital,pullImage,image,,CommandInjection,,,,
digital,pullImage,tag,,CommandInjection,,,,
digital,pushImage,image,,CommandInjection,,,,
digo,copyDir,from,,TaintedPath,,,,
digo,copyFileIf,from,,TaintedPath,,,,
digo,copyLink,from,,TaintedPath,,,,
digo,createLink,target,,TaintedPath,no,,,
digo,createLinkIf,target,,TaintedPath,no,,,
digo,deleteDir,path,,TaintedPath,,,,
digo,deleteFile,path,,TaintedPath,,,,
digo,readLinkIf,path,,TaintedPath,,,,
dir-compare,compareAsync,path1,,TaintedPath,,,,
discord-akairo,load,thing,"Module class or path to module.
",TaintedPath,,,,
dish,file,p,,TaintedPath,,,,
district,district,namespace,,TaintedPath,yes,,namespace of node_modules,param+func
dns-sync,resolve,hostname,,CommandInjection,,,,
docs-parser,config,config,,TaintedPath,,,,
docx-builder,insertDocx,path,,TaintedPath,,,,
doh,_registerTest,test,,CodeInjection,,,,
doh,_registerTestAndCheck,test,,CodeInjection,,,,
doh,assertTrue,condition,,CodeInjection,,,,
doh,f,condition,,CodeInjection,no,,doh is a unit test lib where condition is a assertion predicate,param+README
dojo,fromJson,js,,CodeInjection,yes,,only makes sense if you read links listed in README,func
dojo,require,id,,TaintedPath,,,,
domoja-core,reloadConfig,arg,,TaintedPath,,,,
donuts.node-settings,openSettings,name,,TaintedPath,,,,
dot-access,get,path,,CodeInjection,yes,,,
dotenv-flow,parse,filenames,"filename or a list of filenames to parse
",TaintedPath,,,,
dotjson,get,filename,,TaintedPath,,,,
dotjson,set,filename,,TaintedPath,,,,
download.jqueryui.com,isDirectory,filepath,,TaintedPath,,,,
doxdox-core,findFileInPath,input,,TaintedPath,no,,,
doxdox-core,isDirectory,path,,TaintedPath,,,,
doxdox-parser-template,doxdox-parser-template,cwd,,TaintedPath,no,,,param
doxdox-parser-template,doxdox-parser-template,path,,TaintedPath,,,,
dpdm,appendSuffix,request,,TaintedPath,,,,
dpdm,simpleResolver,request,,TaintedPath,,,,
draft-js,requestAnimationFrame,callback,,CodeInjection,no,,,
driftless,setDriftlessInterval,fn,,CodeInjection,,,,
drp-service-docmgr,ListDocs,serviceName,"Name of service
",TaintedPath,,,,
drp-service-docmgr,LoadDoc,serviceName,,TaintedPath,,,,
drp-service-docmgr,SaveDoc,serviceName,,TaintedPath,,,,
dry,read_template_file,pattern,,TaintedPath,,,,
ds-store,write,path,,TaintedPath,no,,,param+func
dust,nextTick,callback,,CodeInjection,no,,,
dustjs-example-streaming,onLoad,tmpl,,TaintedPath,,,,
dustjs-linkedin,loadSource,source,,CodeInjection,,,,
dustjs-linkedin,nextTick,callback,,CodeInjection,,,,
dvsa,handler,body,,CodeInjection,yes,,DVSA is a deliberately vulnerable application,param+func
dvsa,handler,headers,,CodeInjection,yes,,DVSA is a deliberately vulnerable application,param+func
dyfactor,checkoutBranch,name,,CommandInjection,yes,,,param+func
dyfactor,scratchBranch,name,,CommandInjection,,,,
dynosrc,patch,id,,TaintedPath,,,,
earthstar-pub,serve,dataFolder,,TaintedPath,,,,
easy-zip2,zipFolder,folder,,TaintedPath,,,,
easywebpack,getBuilderConfig,config,,TaintedPath,,,,
easywebpack,getConfig,config,,TaintedPath,,,,
easywebpack,getNodeWebpackConfig,config,,TaintedPath,,,,
easywebpack,getPackageConfig,baseDir,,TaintedPath,,,,
easywebpack,saveBuildConfig,filepath,,TaintedPath,,,,
easywebpack-cli,getDefaultInstallPackage,name,,TaintedPath,,,,
easywebpack-js,getWebpackConfig,config,,TaintedPath,,,,
easywebpack-react,getWebpackConfig,config,,TaintedPath,,,,
easywebpack-vue,getWebpackConfig,config,,TaintedPath,,,,
ebics-client,serialize,path,,TaintedPath,,,,
ecstatic,createMiddleware,_dir,,TaintedPath,,,,
edge,func,language,,TaintedPath,,,,
edublocks,CLOSURE_IMPORT_SCRIPT,src,"The script source.
",TaintedPath,no,,,param+func+param doc
egg-scripts,checkStatus,stderr,,TaintedPath,,,,
ehogan-loader,ehogan-loader,source,,CodeInjection,yes,,Compiles Mustache templates with Hogan and optionally html-minifier.,param+func
ejs,compile,str,,CodeInjection,no,,,
ejs,compile,str,,TaintedPath,,,,
ejs,parse,str,,TaintedPath,,,,
ejs,render,str,,CodeInjection,,,,
ejs,render,str,,TaintedPath,,,,
ejs-loader,ejs-loader,source,,CodeInjection,,,,
electrode,reactQueryFeature,serverModule,,TaintedPath,,,,
electron-dotnet,func,language,,TaintedPath,yes,,"surprising: there are 2 params (`language`,`options`), if only 1 param (i.e. `language`) is provided, set `options` to `language`",param+func
electron-updater,list,appDir,,TaintedPath,,,,
element-resize-detector,requestFrame,callback,,CodeInjection,no,,,
email-filter,compile,name,,CodeInjection,,,,
email-templates,exportable,templateDirectory,,TaintedPath,no,,,param+func+package
ember-cli-i18next,treeFor,name,,TaintedPath,,,,
ember-photoswipe,resolvePackagePath,packageName,,TaintedPath,no,,,param+func
ember-watson,transformTestsToAsyncAwait,rootPath,,TaintedPath,,,,
emotion-monorepo,emotion-monorepo,cases,,TaintedPath,,,,
empty-dir,emptyDirSync,dir,,TaintedPath,,,,
encoder,encoder,input,,TaintedPath,,,,
ender,req,mod,,CommandInjection,yes,,mod=module,param+func
eneyj,natify,as,,TaintedPath,,,,
engine-lodash,lodashRender,fn,,CodeInjection,,,,
